[  133565ms] [WARNING] [zustand devtools middleware] Please install/enable Redux devtools extension @ https://res.public.onecdn.static.microsoft/midgard/versionless-v2/main.vendors.28d0b18d.js:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.acquireAccessTokenSilently API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.acquireAccessTokenSilently API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.acquireAccessTokenWithUserInteraction API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.acquireAccessTokenWithUserInteraction API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.getIntegratedAccountInfo API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134517ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.getPrimaryAccountInfo API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134518ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.getPrimaryAccountInfo API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134518ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.isUserSignedInToHost API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134518ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.startEdgeSignIn API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
[  134518ms] [WARNING] The CSP policy enforced by this page is not strict enough to allow access to authPrivate.subscribeToServiceAuthEvents API. The following policies failed {Trusted Types}. @ https://m365.cloud.microsoft/chat?fromcode=cmmyr718qsb&from=BypassUnauthAppPage&fromCode=CsrToSSR:0
